time,open,high,low,close,volume
2026-01-15 20:40:00,4617.98,4618.14,4614.17,4615.51,1451
2026-01-15 20:45:00,4615.52,4619.69,4615.38,4618.77,1314
2026-01-15 20:50:00,4618.76,4619.07,4615.92,4616.3,1052
2026-01-15 20:55:00,4616.33,4617.58,4616.02,4617.56,948
2026-01-15 21:00:00,4617.57,4620.07,4617.43,4619.15,1193
2026-01-15 21:05:00,4619.34,4621.42,4618.09,4621.32,1395
2026-01-15 21:10:00,4621.25,4621.49,4618.86,4619.0,1143
2026-01-15 21:15:00,4619.04,4619.82,4617.61,4619.45,1123
2026-01-15 21:20:00,4619.43,4620.02,4618.83,4619.64,1051
2026-01-15 21:25:00,4619.58,4620.59,4618.06,4618.21,1006
2026-01-15 21:30:00,4618.23,4618.84,4616.97,4618.13,1201
2026-01-15 21:35:00,4618.12,4619.16,4615.18,4616.2,978
2026-01-15 21:40:00,4616.22,4617.12,4615.76,4616.84,1196
2026-01-15 21:45:00,4616.8,4617.16,4615.38,4615.9,1124
2026-01-15 21:50:00,4615.86,4616.34,4615.33,4616.03,846
2026-01-15 21:55:00,4615.97,4616.3,4612.75,4615.91,1392
2026-01-15 22:00:00,4615.93,4616.29,4612.64,4613.98,1150
2026-01-15 22:05:00,4613.99,4614.92,4605.74,4605.87,1332
2026-01-15 22:10:00,4605.86,4608.64,4604.14,4605.72,1662
2026-01-15 22:15:00,4605.7,4608.75,4600.87,4601.84,1798
2026-01-15 22:20:00,4601.79,4605.88,4601.38,4603.37,1808
2026-01-15 22:25:00,4603.36,4605.19,4601.0,4604.99,1685
2026-01-15 22:30:00,4604.97,4607.98,4603.74,4607.43,1533
2026-01-15 22:35:00,4607.41,4609.33,4604.91,4606.84,1563
2026-01-15 22:40:00,4606.83,4608.65,4605.55,4608.01,1445
2026-01-15 22:45:00,4608.03,4609.12,4604.08,4605.81,1530
2026-01-15 22:50:00,4605.85,4607.2,4604.49,4605.65,1467
2026-01-15 22:55:00,4605.52,4607.06,4603.47,4605.8,1658
2026-01-15 23:00:00,4605.78,4610.1,4604.5,4608.37,933
2026-01-15 23:05:00,4608.4,4612.25,4608.4,4610.46,993
2026-01-15 23:10:00,4610.42,4612.13,4610.24,4612.09,951
2026-01-15 23:15:00,4612.11,4613.8,4611.38,4613.67,824
2026-01-15 23:20:00,4613.81,4614.31,4612.96,4613.97,603
